Title,IMDB ID,Date of release,Genre1,Genre2,Genre3,Language,Actor1,Actor2,Actor3,Crew1,Crew2,Crew3,Plot summary,IMDB rating,IMDB votes,IMDB URL
Baharen Phir Bhi Aayengi,0060145,1966,Drama,Romance,NA,Hindi,Mala Sinha,Dharmendra,Tanuja,L.G. Patil,NA,NA,"Jitendra Gupta lives a poor lifestyle in Calcutta, India, along with his elder and widowed sister, and a niece named Sushma. He works in the editorial department of a leading newspaper. He unauthorizedly exposes unscrupulous persons that are related to the newspaper's board of directors, leading to him being reprimanded by the Managing Director, Amita Sinha, and being forced to resign. Amita does have a change of heart, when she finds out that he had printed the truth, not only reinstates him but promotes him as the Chief Editor, and falls in love with him. Amita lives a wealthy lifestyle with her sister, Sunita, and is all set to tell her the good news that she finds out that Sunita has fallen in love with him also. Amita decides to give up on Jitendra in her sisters' interest. Shortly thereafter she receives a marriage proposal from wealthy Vikram Varma, the brother of a Director of the newspaper, for Sunita's hand. Will Amita seek this opportunity to wed Sunita with Vikram - and have Jitendra for herself?",7.1,103,https://www.imdb.com/title/tt0060145/
Amir Garib,0233202,1974,Action,Thriller,NA,Hindi,Dev Anand,Hema Malini,Prem Nath,K. Baburao,Gani,Yusuf,"Manmohan alias Moni lives a dual life. One as a magician, and the other as a thief with the name of Bhagula Bhagat, whose prime agenda is to rob the rich, and spread the wealth with the poor. He meets with a young woman named Sunita alias Soni, and both fall in love with each other. Things change for the better for Soni, when she meets her wealthy long-lost father, Daulatram, and goes to live with him. She decides not to have to do anything with Moni. When Moni attempts to meet Soni to find out why she has rejected him, she refuses to meet him. Then Moni finds out that Soni is not who she claims she is, and definitely not the daughter of Daulatram, but the daughter of another wealthy man named Nandlal, who had died under mysterious and destitute circumstance.",6.7,100,https://www.imdb.com/title/tt0233202/
Shapath,0251395,1997,Action,NA,NA,Hindi,Mithun Chakraborty,Vineeta,Jackie Shroff,NA,NA,NA,"Inspector Kishan lives a middle-class lifestyle in Mumbai, India, along with his younger brother, Rahul. He is in love with Kavita, the daughter of a Mantri, Dindayal Kallu, while Rahul is in love with Neena. The city is being held to ransom by corrupt politicians like Rana Jung Bahadur who openly associate with gangsters and criminal dons like Chaurasia, Rajeshwar and his brother, Lankeshwar. But when Chaurasia decides to take the larger share of the underworld market, a gang-war breaks out. When Inspector Kishan attempts to arrest Chaurasia, he is warned by his superior, ACP. Rahul then witnesses a murder being committed by Chaurasia's goon, Surya, but before he could do anything, he himself is killed. An enraged Kishan goes to kill Surya, but is prevented by thugs. Neena's goes into a depression and passes away. It is then Kishan, now suspended from the Police Force, takes a vow to avenge his brother's death, and this is when he will be thrown into a conflict, not only with the underworld, the Police, but also against Surya himself.",5.5,93,https://www.imdb.com/title/tt0251395/
Aakrosh: Cyclone of Anger,0286416,1998,Action,Crime,Drama,Hindi,Sunil Shetty,Shilpa Shetty Kundra,Girish Karnad,NA,NA,NA,"CID officer Dev Malhotra is assigned with the task of bringing to justice the people who wants to assassinate the Prime Minister Rajvansh Shashtri. He suspects a number of people but is unable to lay hands on anyone as there is insufficient evidence. His quest continues when he meets his female colleague, CID Komal, and with her help he finds out that Mahendra Pratap Gujral alias Suraj Singh is the culprit--and his biological father.",4.6,101,https://www.imdb.com/title/tt0286416/
Majhli Didi,0139447,1967,Drama,NA,NA,Hindi,Meena Kumari,Dharmendra,Lalita Pawar,NA,NA,NA,"Bipinchandra breaks family tradition by marrying a city girl, Hemangini, much to the chagrin of his sister-in-law, Kadambini, and her husband, Navinchandra. Things are delicate even after both women give birth to two children each. Then Hemangini testifies against Navinchandra in Court, leading to the division of the property. Things got worse by the arrival of Kadambini's orphaned school-going step-brother, Kishan, who is beaten and abused by not only by Kadambini and Navinchandra, but also by their overweight son. When Hemangini objects to Kishan's ill-treatment, Bipin takes the side of the rest of the family, and may probably force her to abandon Kishan to his fate or divorce her.",7.6,101,https://www.imdb.com/title/tt0139447/
Sangdil,0130991,1952,Drama,Mystery,Romance,Hindi,Madhubala,Dilip Kumar,Shammi,Kamat,NA,NA,"A loose adaptation of Charlotte Bronte's classic, Jane Eyre. In this version childhood sweethearts are separated and grow up in different worlds. The girl is brought up to be a 'pujaaran' (priestess) while the boy grows up to be a dejected 'thakur', turned vindictive by life's injustices. Fate inevitably brings them together at a later juncture, and all seems happy and perfect for the young couple, until she discovers his deep, dark secret.",7.3,111,https://www.imdb.com/title/tt0130991/
Ginny Aur Johnny,0452236,1976,Comedy,Drama,Family,Hindi,Mehmood,Baby Ginni,Amjad Khan,NA,NA,NA,NA,7.3,93,https://www.imdb.com/title/tt0452236/
Hip Hip Hurray,1634526,1999,Drama,NA,NA,Hindi,Bhoomika Chawla,Pamela Mukherjee,Rushad Rana,NA,NA,NA,"The story is based on the lives of 12th grade students at the DeNobili High School and their adventures, their fears and hopes, their relationships and interactions. Besides that the story also focuses on issues pertinent for the younger generation such as dating, careers, health, exams, causes in a light-hearted manner. The first season of the series more focused on the stars where they were in school flitting through life with joys and sorrows of life as students. The first season contained 80 episodes and the second contained around 55 episodes.The second season focuses on students lives on campus. Each episode of the series takes you through the year spent by an exciting bunch of teenagers - a year during which they fall in love, and suffer heart-breaks, have problems with their teachers and parents, experience pressures at exam time and so on. Their trials and tribulations are captured poignantly and with rare sensitivity.",8.5,257,https://www.imdb.com/title/tt1634526/
Himalay Ki Godmein,0156606,1965,Adventure,Drama,Family,Hindi,Mala Sinha,Manoj Kumar,Shashikala,Barkia,Kanu Desai,NA,"Sunil, son of D.I.G. Shyamlal Mehra, is back in India after successful completion of his medical studies. He gets an offer to work with his fiancée Dr. Neeta Verma, in a private hospital but he joins a municipality hospital, instead. According to him medicinal practice is a sacred profession which should not be treated as business. A short visit to a small village inspires Sunil to come and stay at that village and serve poor villagers, who do not have a single doctor in nearby dozens of villages. He comes to the village and sets up a hospital with limited facilities. He encounters village belle Phoolwa and his father Dayal. Phoolwa cooks food for Sunil and also helps him in routine hospital activities. Sunil and Phoolwa fall in love and decides to marry but Dayal opposes this alliance because Phoolwa is not his real daughter but his younger brother dacoit Lakhan's, who wants to kill Sunil since he is son of a police officer who wants to arrest him. Police force raids Lakhan's vicinity to arrest him but he only gets injured and escapes. Dayal and Phoolwa finds and brings him to surrender to the police and get him treated by doctor Sunil. But Lakhan dies. D.I.G. accepts Phoolwa as his daughter in law.",6.8,101,https://www.imdb.com/title/tt0156606/
Aadmi,0177483,1993,Action,Crime,Drama,Hindi,Ajit,Vikas Anand,Arjun,NA,NA,NA,"Vijay Srivastav lives a middle-classed lifestyle in Bombay along with dad, Mohanlal, mom, Sharda, and a younger brother, Raju. His father and brother manage a restaurant named 'Sahiba', while Vijay works as a Supervisor at the Ordnance Factory that manufacturers RDX for the Government of India and also moonlights as a self-defense instructor. He meets with wealthy Rekha, the only daughter of Advocate Saxena, and both fall in love with each other. Their respective parents meet and arrange their marriage. Before even the engagement could take place, Vijay is arrested by the Police and charged with killing his parents and brother, tried in Court, found guilty, and sentenced to five years in jail. On his first day behind bars, he is approached by Inspector Yeshwant Deshmukh, who asks him to cooperate and abduct Deepak, the son of an underworld don, and if he does so, he will only aid the Police but his crime will be pardoned and he will be released. Vijay agrees to do so, escapes from jail, successfully abducts Deepak, and returns to jail - and finds out that the person he abducted was not the son of a don, but the future son-in-law of Inspector General of Police Pratap Singh - who is more than likely to ensure that Vijay never gets out of jail - ever!",6.5,107,https://www.imdb.com/title/tt0177483/
Masterji,0187271,1985,Comedy,Drama,Romance,Hindi,Rajesh Khanna,Sridevi,Anita Raj,NA,NA,NA,"Percocious village belle, Radha, the daughter of Mukhiya Jamnadas, takes a liking to the widowed school-master, Masterji, the father of a toddler; when he spurns her, she publicly accuses him of having an affair with her and forces him to marry her. She then finds out that he really loves his colleague, Shobha, and becomes embittered towards him. Things get out of hand when he and the villagers start suspecting that she may have been responsible for trying to kill his son.",6.5,105,https://www.imdb.com/title/tt0187271/
Karz Chukana Hai,0172646,1991,Drama,NA,NA,Hindi,Govinda,Juhi Chawla,Raj Kiran,NA,NA,NA,"Alcoholic, arrogant, and a slacker, Atmaram, though coming from a poor family, has visions of grandeur, and believes that everyone else is subordinate to his wishes and instructions. This lands him in hot water with his employer, Seth Usman, and as a result he loses his job. Unable to support his family, namely his wife, Laxmi, and two grown sons, Ravi and Vijay, he starts living at home, dependent on his sons' incomes. Then fate delivers a cruel blow to Atmaram, leaving him alone and desolate. He decides to atone for his mistakes, but will he able to convince others of his good intentions, who are weary of him, and fear that this may be another ploy on his part to fool them again.",5.5,101,https://www.imdb.com/title/tt0172646/
Zabardast,9758482,2018,Documentary,NA,NA,French,Yannick Graziani,Hélias Millerioux,Zak Mills,NA,NA,NA,NA,8.1,192,https://www.imdb.com/title/tt9758482/
